date,time,encounter,tide,group_size,calf_presence,behavior,call_category
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:52:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:55:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:56:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:56:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:56:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:56:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:56:00,6,Ebb,15,yes,Travel,ws
10/6/2021,10:56:00,6,Ebb,15,yes,Travel,ws
10/7/2021,12:00:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:00:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:00:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:00:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:00:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:00:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:00:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:01:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:02:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:02:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:02:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:02:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:02:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:02:00,7,Ebb,15,yes,Travel,ws
10/7/2021,12:02:00,7,Ebb,15,yes,Travel,ws
10/8/2021,12:24:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:24:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:24:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:24:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:25:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:25:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:25:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:25:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:26:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:27:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:27:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:27:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:27:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:27:00,8,Ebb,19,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:28:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
10/8/2021,12:29:00,8,Ebb,53,yes,Travel,ws
