date,time,encounter,behavior,call_type,call_category,minute,behav_s,difftime_s,behav_next,difftime_next
9/17/2021,11H 19M 0S,3,Mill,NA,NA,35,18,17,39,-4
9/17/2021,11H 20M 0S,3,Mill,NA,NA,36,18,18,39,-3
9/17/2021,11H 21M 0S,3,Mill,NA,NA,37,18,19,39,-2
9/17/2021,11H 22M 0S,3,Mill,NA,NA,38,18,20,39,-1
9/17/2021,11H 23M 0S,3,Travel,NA,NA,39,39,0,1,38
9/17/2021,11H 24M 0S,3,Travel,NA,NA,40,39,1,1,39
9/17/2021,11H 25M 0S,3,Travel,NA,NA,41,39,2,1,40
9/17/2021,11H 26M 0S,3,Travel,NA,NA,42,39,3,1,41
9/17/2021,11H 27M 0S,3,Travel,NA,NA,43,39,4,1,42
9/17/2021,11H 28M 0S,3,Travel,NA,NA,44,39,5,1,43
9/17/2021,11H 29M 0S,3,Travel,NA,NA,45,39,6,1,44
9/17/2021,11H 30M 0S,3,Travel,NA,NA,46,39,7,1,45
9/17/2021,11H 31M 0S,3,Travel,NA,NA,47,39,8,1,46
9/17/2021,11H 32M 0S,3,Travel,NA,NA,48,39,9,1,47
9/17/2021,13H 7M 0S,4,Mill,NA,NA,1,1,0,18,-17
9/17/2021,13H 8M 0S,4,Mill,NA,NA,2,1,1,18,-16
9/17/2021,13H 9M 0S,4,Mill,NA,NA,3,1,2,18,-15
9/17/2021,13H 10M 0S,4,Mill,NA,NA,4,1,3,18,-14
9/17/2021,13H 11M 0S,4,Mill,NA,NA,5,1,4,18,-13
9/17/2021,13H 12M 0S,4,Mill,NA,NA,6,1,5,18,-12
9/17/2021,13H 13M 0S,4,Mill,NA,NA,7,1,6,18,-11
9/17/2021,13H 14M 0S,4,Mill,NA,NA,8,1,7,18,-10
9/17/2021,13H 15M 0S,4,Mill,modws.seg,ws,9,1,8,18,-9
9/17/2021,13H 16M 0S,4,Mill,dws,ws,10,1,9,18,-8
9/17/2021,13H 16M 0S,4,Mill,dws,ws,10,1,9,18,-8
9/17/2021,13H 16M 0S,4,Mill,flatws,ws,10,1,9,18,-8
9/17/2021,13H 16M 0S,4,Mill,dws,ws,10,1,9,18,-8
9/17/2021,13H 16M 0S,4,Mill,dws,ws,10,1,9,18,-8
9/17/2021,13H 16M 0S,4,Mill,dws,ws,10,1,9,18,-8
9/17/2021,13H 16M 0S,4,Mill,nws.seg,ws,10,1,9,18,-8
9/17/2021,13H 16M 0S,4,Mill,flatws.seg,ws,10,1,9,18,-8
9/17/2021,13H 17M 0S,4,Mill,dws.seq,ws,11,1,10,18,-7
9/17/2021,13H 17M 0S,4,Mill,flatws.seg,ws,11,1,10,18,-7
9/17/2021,13H 17M 0S,4,Mill,aws,ws,11,1,10,18,-7
9/17/2021,13H 17M 0S,4,Mill,flatws,ws,11,1,10,18,-7
9/17/2021,13H 18M 0S,4,Mill,pulse.n,pc,12,1,11,18,-6
9/17/2021,13H 18M 0S,4,Mill,pulse.n,pc,12,1,11,18,-6
9/17/2021,13H 18M 0S,4,Mill,dws,ws,12,1,11,18,-6
9/17/2021,13H 18M 0S,4,Mill,dws,ws,12,1,11,18,-6
9/17/2021,13H 19M 0S,4,Mill,aws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,dws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,aws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,dws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,trill,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,dws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,dws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,dws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.d,pc,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,dws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.flat.seg,pc,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.flat.seg,pc,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.flat.seg,pc,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,modws.seg,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.flat,pc,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.a,pc,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,uws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,modws,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.d,pc,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,flatws.seg,ws,13,1,12,18,-5
9/17/2021,13H 19M 0S,4,Mill,pulse.d.bc,pc,13,1,12,18,-5
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,modws.seg,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.flat,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,uws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,uws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,nws.seq,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,nws.seq,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,nws.seq,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,nws.seq,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.d,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.n,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,aws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.mod.bc,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.n,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,dws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,flatws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.mod,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,rws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,rws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.flat.seg,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.n,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.d,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,nws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,rws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,flatws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.flat,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,modws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.a,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.d,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.flat,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,dws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,modws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,modws,ws,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.flat,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,pulse.flat,pc,14,1,13,18,-4
9/17/2021,13H 20M 0S,4,Mill,dws,ws,14,1,13,18,-4
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.a,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,aws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,modws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,dws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.a,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.a,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.n,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.n,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.a,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,modws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.mod.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,modws.sa.seq,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,flatws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,dws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,aws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.mod.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.mod.bc,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.mod.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat.seg.2,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,modws.seg,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,modws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.a,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,modws.seg,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat.seg,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,aws,ws,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.a,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.d,pc,15,1,14,18,-3
9/17/2021,13H 21M 0S,4,Mill,pulse.flat,pc,15,1,14,18,-3
