date,minute,encounter,behavior,pulse.flat,flatws,aws,dws,pulse.flat.seg,pulse.d,modws,pulse.a,uws,modws.seg,flatws.seg,pulse.mod,pulse.n,nws,c.13,nws.seq,modws.m,c.9,aws.seg,trill,rws,pulse.mod.seg,c.10,pulse.mod.bc,pulse.flat.seg.2,c.12,behav_s,difftime_s,behav_next,difftime_next
9/17/2021,8,4,Mill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,18,-10
9/17/2021,9,4,Mill,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,18,-9
9/17/2021,10,4,Mill,0,1,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,18,-8
9/17/2021,11,4,Mill,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,18,-7
9/17/2021,12,4,Mill,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,18,-6
9/17/2021,13,4,Mill,1,0,2,6,3,2,1,1,10,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,12,18,-5
9/17/2021,14,4,Mill,5,2,9,3,1,3,3,1,2,1,0,1,3,1,0,4,0,0,0,0,3,0,0,1,0,0,1,13,18,-4
9/17/2021,15,4,Mill,7,2,3,2,6,12,4,6,0,2,0,0,2,0,0,0,0,0,0,0,0,3,0,1,1,0,1,14,18,-3
9/17/2021,16,4,Mill,4,4,12,2,8,5,2,5,0,4,1,2,0,1,0,0,0,4,0,0,0,0,3,0,1,0,1,15,18,-2
9/17/2021,17,4,Mill,5,2,3,2,6,1,2,1,0,0,1,0,0,2,0,0,4,0,0,2,0,0,0,0,0,1,1,16,18,-1
9/17/2021,18,4,Travel,3,5,0,1,1,1,1,1,0,0,0,2,0,2,5,0,0,0,0,0,0,0,0,0,0,1,18,0,25,-7
9/17/2021,19,4,Travel,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,25,-6
9/17/2021,20,4,Travel,1,0,4,2,1,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,25,-5
9/17/2021,21,4,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,25,-4
9/17/2021,22,4,Travel,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4,25,-3
9/17/2021,23,4,Travel,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,5,25,-2
9/17/2021,24,4,Travel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,6,25,-1
